word,politics,religious,sports,entertainment
ছাত্রদল,-9.834245293776753,0.0,0.0,0.0
ষষ্ঠ,-10.319672120946995,0.0,0.0,0.0
কাউন্সিল,-9.056637715113201,0.0,0.0,0.0
আদালত,-10.641600215834357,0.0,-12.71188202835209,0.0
নিষেধাজ্ঞ,-10.319672120946995,0.0,0.0,0.0
স্থায়ী,-10.319672120946995,0.0,-12.71188202835209,-11.728133100306218
কমি,-7.997744026059632,0.0,-12.71188202835209,0.0
সদস্য,-8.941160497693264,-11.69457553752599,0.0,0.0
খন্দক,-10.641600215834357,0.0,-12.71188202835209,0.0
মোশাররফ,-11.056637715113201,0.0,0.0,0.0
হোস,-9.834245293776753,-11.69457553752599,-11.71188202835209,-10.406205005418855
গণতান্ত্রিক,-11.641600215834359,0.0,0.0,0.0
প্রক্রিয়া,-11.641600215834359,0.0,0.0,0.0
নিষেধাজ্ঞা,-11.056637715113201,0.0,0.0,0.0
জারি,-11.641600215834359,-12.694575537525989,0.0,-9.027693382165124
গণতন্ত্রচর্চ,-12.641600215834359,0.0,0.0,0.0
চেষ্,-10.641600215834357,0.0,0.0,-12.728133100306218
নানাভাব,-11.641600215834359,0.0,0.0,0.0
বাধা,-11.641600215834359,-11.69457553752599,0.0,0.0
দি,-7.687403905447482,-6.836594542398417,-7.582599011407121,-6.797395762743331
আগ,-11.056637715113201,-9.887220615468385,-9.389953933464724,-10.14317059958506
ধর্মবিষয়ক,-12.641600215834359,0.0,0.0,0.0
সহসম্পাদক,-12.641600215834359,0.0,0.0,0.0
আমান,-12.641600215834359,0.0,0.0,0.0
গতকাল,-11.641600215834359,0.0,-11.71188202835209,0.0
বৃহস্পতিব,-12.641600215834359,0.0,0.0,-12.728133100306218
ঢাক,-12.641600215834359,-12.694575537525989,-12.71188202835209,-9.558208098863904
চতুর্থ,-12.641600215834359,0.0,-11.71188202835209,0.0
সহকারী,-12.641600215834359,0.0,0.0,0.0
জজ,-12.641600215834359,0.0,0.0,0.0
আদাল,-10.056637715113201,0.0,-12.71188202835209,0.0
মামলা,-10.056637715113201,0.0,0.0,0.0
শুনানি,-12.641600215834359,0.0,-12.71188202835209,0.0
অস্থায়ী,-12.641600215834359,0.0,0.0,-12.728133100306218
আদেশ,-12.641600215834359,0.0,0.0,0.0
অবৈধ,-12.641600215834359,-12.694575537525989,0.0,0.0
ঘোষণা,-11.641600215834359,-12.694575537525989,-12.71188202835209,0.0
চেয়,-10.056637715113201,0.0,0.0,-12.728133100306218
জবাব,-9.834245293776753,0.0,0.0,0.0
৭,-10.641600215834357,-12.694575537525989,-9.011442310210995,-11.728133100306218
দিন,-9.182168597197059,-7.524650536083677,-9.904527106294482,-8.14317059958506
বেঁধ,-12.641600215834359,0.0,0.0,-12.728133100306218
দিয়,-10.056637715113201,-12.694575537525989,-10.389953933464724,-9.558208098863904
মহাসচিবসহ,-12.641600215834359,0.0,0.0,0.0
১০,-11.641600215834359,-8.887220615468385,-9.541957026909776,-12.728133100306218
যুগ্ম,-10.641600215834357,0.0,0.0,0.0
মহাসচিব,-10.056637715113201,0.0,0.0,0.0
নির্বাচন,-8.471675214392045,0.0,0.0,-12.728133100306218
পরিচালনা,-11.641600215834359,0.0,0.0,-11.14317059958506
আহ্বায়ক,-12.641600215834359,0.0,0.0,0.0
খায়রুল,-11.641600215834359,0.0,0.0,0.0
কবির,-11.641600215834359,0.0,0.0,0.0
খোকন,-11.641600215834359,0.0,0.0,-11.728133100306218
আঘাত,-12.641600215834359,0.0,0.0,0.0
দীর্ঘ,-11.641600215834359,-10.694575537525989,-12.71188202835209,-11.14317059958506
মাস,-10.056637715113201,-9.524650536083678,-11.71188202835209,-9.027693382165124
প্রক্রিয়,-11.056637715113201,0.0,0.0,0.0
মধ্য,-11.641600215834359,-10.109613036804832,0.0,-9.728133100306216
যাচ্ছিলাম,-12.641600215834359,0.0,0.0,0.0
বানচাল,-12.641600215834359,0.0,0.0,0.0
দিল,-12.641600215834359,-12.694575537525989,-10.711882028352088,-11.14317059958506
পিক,-11.056637715113201,-12.694575537525989,0.0,0.0
অ্যান্ড,-12.641600215834359,0.0,0.0,-12.728133100306218
চুজ,-12.641600215834359,0.0,0.0,0.0
অছাত্র,-12.641600215834359,0.0,0.0,0.0
জন্য,-11.641600215834359,-10.694575537525989,-12.71188202835209,-12.728133100306218
পরবর্তী,-10.641600215834357,-12.694575537525989,-11.71188202835209,0.0
ধারাবাহিক,-12.641600215834359,0.0,0.0,-11.728133100306218
চর্চ,-11.641600215834359,0.0,0.0,-10.728133100306216
আইনির,-12.641600215834359,0.0,0.0,0.0
পাশাপাশি,-11.056637715113201,-11.109613036804832,-11.126919527630932,-9.920778178248613
ময়মনসিংহ,-12.641600215834359,0.0,0.0,-12.728133100306218
গৌরীপুর,-11.641600215834359,0.0,0.0,0.0
উপজেলা,-11.056637715113201,0.0,0.0,0.0
নাশকত,-12.641600215834359,0.0,0.0,0.0
নেতাকর্মী,-10.056637715113201,0.0,0.0,0.0
ব্যবসায়ী,-12.641600215834359,0.0,0.0,0.0
পরিবার,-11.641600215834359,-11.69457553752599,0.0,-11.14317059958506
দুজন,-11.641600215834359,-12.694575537525989,-11.126919527630932,-10.728133100306216
আসামি,-11.641600215834359,0.0,0.0,0.0
১,-8.734709620225837,-7.836594542398417,-6.930522314827428,-8.920778178248613
প্রতিষ্ঠাবার্ষিকীর,-12.641600215834359,0.0,0.0,0.0
পৌর,-12.641600215834359,0.0,0.0,0.0
